_,_,,,,
b,b,,,,
c,ts,ch,q,c,
d,d,,,,
f,f,,,,
g,g,,,,
gw,gw,gu,,,
h,h,,,,
j,y,,,,
k,k,,,,
kw,kw,ku,,,
l,l,,,,
m,m,,,,
n,n,,,,
ng,ng,_,,,
p,p,,,,
s,s,sh,,,
t,t,,,,
w,w,,,,
z,j,z,,,
aa,a,ah,ar,aa,
aai,ai,aai,,,
aau,ao,aau,ow,,
aam,arm,am,aam,,
aan,an,arn,aan,,
aang,ang,arng,aang,,
aap,arb,ab,ap,arp,aap,aab
aat,ad,ard,at,art,aat,aad
aak,arg,ag,arc,ac,ak,ark,aak,aac,aag
ai,aei,ai,,,
au,au,ou,,,
am,um,am,,,
an,un,en,an,,
ang,ung,ang,,,
ap,ub,up,ap,ab,
at,ud,ut,at,ad,
ak,ug,uc,uk,ak,ag,ac
e,e,eh,ea,eah,ie
ei,ei,,,,
eu,el,ell,eu,,
em,em,,,,
eng,eng,,,,
ep,eb,ep,,,
ek,eg,ec,ek,,
i,i,ee,,,
iu,iu,il,ill,,
im,im,eem,,,
in,in,een,,,
ing,ing,,,,
ip,ib,eeb,ip,eep,
it,id,eed,it,,
ik,ig,ic,ik,,
o,or,o,,,
oi,oi,oy,,,
ou,o,ou,oe,,,
on,on,,,,
ong,ong,orn,,,
ot,ord,od,ot,,
ok,org,og,orc,oc,ok,ork
oe,ur,,,,
oeng,eung,eong,urng,urn,ern
oek,urg,urc,urk,erk,erc,erg,urd,erd,euk,eud,eug,euc
eoi,eui,ui,,,
eon,eun,un,,,
eot,eud,ud,ut,eut,
u,u,oo,,,
ui,ui,ooi,,,
un,oon,un,,,
ung,oong,ung,oan,ong,
ut,ood,oot,ud,ut,
uk,oog,ooc,ook,oag,oac,oak,uk,uc,ug
yu,ue,u,yu,,
yun,uen,yun,,,
yut,ued,uet,ue,yut,
m,m,mm,,,
ng,ng,,,,
